Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,806230.9944,1445.767945,803397.3413,806230.9944,809064.6475,0.007814439,1.10E-05,0.007792913,0.007814439,0.007835966,8.062309944,8.033973413,8.090646475,781.443929,779.2912895,783.5965684
1991,824878.8686,1429.368386,822077.358,824878.8686,827680.3791,0.007811418,1.05E-05,0.007790932,0.007811418,0.007831903,8.248788686,8.22077358,8.276803791,781.1417648,779.0931997,783.1903298
1992,845118.3535,1430.276725,842315.0626,845118.3535,847921.6444,0.007826351,1.01E-05,0.007806463,0.007826351,0.007846238,8.451183535,8.423150626,8.479216444,782.6350559,780.6462877,784.6238241
1993,866885.2814,1440.178464,864062.5835,866885.2814,869707.9793,0.007855734,9.96E-06,0.007836219,0.007855734,0.007875249,8.668852814,8.640625835,8.697079793,785.5733991,783.6219015,787.5248966
1994,889447.0702,1457.201828,886591.0071,889447.0702,892303.1333,0.007889528,9.85E-06,0.007870215,0.007889528,0.00790884,8.894470702,8.865910071,8.923031333,788.9527606,787.021527,790.8839943
1995,912783.9337,1483.968746,909875.4085,912783.9337,915692.459,0.00792554,9.86E-06,0.007906216,0.00792554,0.007944864,9.127839337,9.098754085,9.15692459,792.5540199,790.6216097,794.4864302
1996,929369.3754,1470.664429,926486.9261,929369.3754,932251.8247,0.007899447,9.44E-06,0.007880945,0.007899447,0.007917949,9.293693754,9.264869261,9.322518247,789.9447106,788.094491,791.7949302
1997,949367.0528,1469.825377,946486.248,949367.0528,952247.8576,0.00790082,9.16E-06,0.00788287,0.00790082,0.00791877,9.493670528,9.46486248,9.522478576,790.0820085,788.2870199,791.8769971
1998,971781.9419,1475.851073,968889.327,971781.9419,974674.5569,0.007921092,8.95E-06,0.007903545,0.007921092,0.007938639,9.717819419,9.68889327,9.746745569,792.1092438,790.3545481,793.8639395
1999,995719.8693,1485.726291,992807.8993,995719.8693,998631.8393,0.007953691,8.79E-06,0.007936458,0.007953691,0.007970925,9.957198693,9.928078993,9.986318393,795.3691296,793.6457913,797.0924678
2000,1020600.009,1497.937118,1017664.106,1020600.009,1023535.912,0.007994807,8.66E-06,0.007977827,0.007994807,0.008011788,10.20600009,10.17664106,10.23535912,799.4807318,797.7826757,801.1787879
2001,1046072.921,1503.670703,1043125.781,1046072.921,1049020.061,0.008041228,8.47E-06,0.008024621,0.008041228,0.008057835,10.46072921,10.43125781,10.49020061,804.1227629,802.4620744,805.7834513
2002,1076390.173,1516.889722,1073417.123,1076390.173,1079363.222,0.008125044,8.35E-06,0.008108672,0.008125044,0.008141415,10.76390173,10.73417123,10.79363222,812.5043758,810.8672017,814.1415499
2003,1110523.359,1535.113129,1107514.593,1110523.359,1113532.126,0.008238817,8.28E-06,0.008222586,0.008238817,0.008255049,11.10523359,11.07514593,11.13532126,823.8817372,822.258609,825.5048654
2004,1147416.726,1556.498294,1144366.045,1147416.726,1150467.407,0.008376134,8.24E-06,0.008359977,0.008376134,0.008392292,11.47416726,11.44366045,11.50467407,837.6134296,835.9976889,839.2291702
2005,1185807.212,1579.351318,1182711.74,1185807.212,1188902.684,0.008528809,8.23E-06,0.008512683,0.008528809,0.008544934,11.85807212,11.8271174,11.88902684,852.8808609,851.2682989,854.4934229
2006,1233505.281,1606.286735,1230357.017,1233505.281,1236653.545,0.008753159,8.23E-06,0.008737019,0.008753159,0.008769299,12.33505281,12.30357017,12.36653545,875.3159094,873.7019242,876.9298946
2007,1294684.548,1642.623119,1291465.066,1294684.548,1297904.031,0.009075292,8.30E-06,0.009059015,0.009075292,0.009091568,12.94684548,12.91465066,12.97904031,907.5291538,905.9015265,909.1567811
2008,1359237.897,1681.111388,1355942.979,1359237.897,1362532.815,0.009419256,8.39E-06,0.009402806,0.009419256,0.009435706,13.59237897,13.55942979,13.62532815,941.9256237,940.2806115,943.5706359
2009,1416018.667,1714.362536,1412658.578,1416018.667,1419378.756,0.009703756,8.46E-06,0.009687181,0.009703756,0.009720332,14.16018667,14.12658578,14.19378756,970.3756425,968.7180727,972.0332123
2010,1453024.072,1735.097722,1449623.343,1453024.072,1456424.801,0.009845975,8.46E-06,0.0098294,0.009845975,0.00986255,14.53024072,14.49623343,14.56424801,984.5975328,982.9400325,986.2550332
2011,1470317.107,1742.89309,1466901.1,1470317.107,1473733.115,0.009849844,8.39E-06,0.009833406,0.009849844,0.009866282,14.70317107,14.669011,14.73733115,984.9844161,983.3406095,986.6282226
2012,1480268.947,1747.009157,1476844.872,1480268.947,1483693.022,0.009802733,8.30E-06,0.009786461,0.009802733,0.009819006,14.80268947,14.76844872,14.83693022,980.2733432,978.6461114,981.9005751
2013,1486001.495,1749.153604,1482573.217,1486001.495,1489429.773,0.009727597,8.21E-06,0.009711503,0.009727597,0.009743692,14.86001495,14.82573217,14.89429773,972.7597209,971.150288,974.3691539
2014,1490489.894,1750.630115,1487058.722,1490489.894,1493921.066,0.009646098,8.12E-06,0.009630183,0.009646098,0.009662013,14.90489894,14.87058722,14.93921066,964.6098357,963.0183495,966.201322
2015,1497456.688,1753.338591,1494020.208,1497456.688,1500893.169,0.009583337,8.04E-06,0.009567587,0.009583337,0.009599088,14.97456688,14.94020208,15.00893169,958.3337202,956.7586839,959.9087565
2016,1480878.147,1742.111403,1477463.672,1480878.147,1484292.623,0.009374002,7.89E-06,0.009358536,0.009374002,0.009389469,14.80878147,14.77463672,14.84292623,937.4002114,935.8535699,938.9468529
2017,1463627.915,1730.687435,1460235.83,1463627.915,1467020,0.009165695,7.75E-06,0.009150505,0.009165695,0.009180885,14.63627915,14.6023583,14.6702,916.5695314,915.0505141,918.0885488
2018,1473755.622,1735.386783,1470354.326,1473755.622,1477156.917,0.009132393,7.68E-06,0.009117332,0.009132393,0.009147455,14.73755622,14.70354326,14.77156917,913.2393358,911.7332185,914.7454531
2019,1490574.344,1744.747664,1487154.701,1490574.344,1493993.987,0.009142038,7.64E-06,0.009127055,0.009142038,0.009157021,14.90574344,14.87154701,14.93993987,914.2038213,912.705507,915.7021355
2020,1491625.907,35367.0231,1422307.815,1491625.907,1560943.998,0.009057207,0.000214622,0.008636556,0.009057207,0.009477858,14.91625907,14.22307815,15.60943998,905.7207452,863.6556487,947.7858416
2021,1491750.513,50429.72544,1392910.067,1491750.513,1590590.958,0.008970049,0.00030315,0.008375886,0.008970049,0.009564213,14.91750513,13.92910067,15.90590958,897.0049136,837.5885717,956.4212556
2022,1491640.059,69855.73942,1354725.326,1491640.059,1628554.792,0.008884856,0.000416028,0.008069457,0.008884856,0.009700255,14.91640059,13.54725326,16.28554792,888.4855808,806.9456865,970.0254752
2023,1491784.164,92660.42941,1310173.059,1491784.164,1673395.268,0.008804629,0.000546842,0.007732839,0.008804629,0.009876419,14.91784164,13.10173059,16.73395268,880.4629298,773.2839175,987.6419421
2024,1491595.589,118398.2677,1259539.248,1491595.589,1723651.929,0.008725973,0.000692604,0.007368494,0.008725973,0.010083452,14.91595589,12.59539248,17.23651929,872.5973395,736.8494373,1008.345242
2025,1490319.305,146791.5448,1202613.164,1490319.305,1778025.446,0.00864459,0.000851434,0.00697581,0.00864459,0.01031337,14.90319305,12.02613164,17.78025446,864.4589964,697.5809589,1031.337034
2026,1487900.515,177338.7452,1140322.961,1487900.515,1835478.068,0.008560315,0.001020256,0.006560649,0.008560315,0.01055998,14.87900515,11.40322961,18.35478068,856.0314575,656.064942,1055.997973
2027,1485114.495,209838.628,1073838.341,1485114.495,1896390.648,0.008477641,0.001197824,0.006129948,0.008477641,0.010825334,14.85114495,10.73838341,18.96390648,847.7640738,612.9947893,1082.533358
2028,1482456.102,244254.2771,1003726.515,1482456.102,1961185.688,0.008399264,0.001383873,0.005686923,0.008399264,0.011111605,14.82456102,10.03726515,19.61185688,839.9264231,568.6923321,1111.160514
2029,1479478.967,280542.3438,929626.0772,1479478.967,2029331.857,0.008322461,0.00157811,0.005229422,0.008322461,0.011415501,14.79478967,9.296260772,20.29331857,832.2461386,522.9422192,1141.550058
2030,1475560.079,318601.5435,851112.528,1475560.079,2100007.629,0.008243635,0.001779945,0.004755007,0.008243635,0.011732263,14.75560079,8.51112528,21.00007629,824.3634705,475.5006787,1173.226262
2031,1470686.573,358157.5299,768710.7133,1470686.573,2172662.432,0.00816272,0.001987863,0.004266581,0.00816272,0.01205886,14.70686573,7.687107133,21.72662432,816.2720389,426.6581049,1205.885973
2032,1465550.32,399185.6861,683160.7523,1465550.32,2247939.888,0.008083585,0.002201792,0.003768153,0.008083585,0.012399018,14.6555032,6.831607523,22.47939888,808.3585297,376.8152632,1239.901796
2033,1460621.743,441751.5654,594804.5844,1460621.743,2326438.901,0.008008786,0.002422174,0.003261412,0.008008786,0.012756161,14.60621743,5.948045844,23.26438901,800.8786124,326.1411571,1275.616068
2034,1455535.283,485801.7764,503381.2976,1455535.283,2407689.268,0.007936278,0.002648817,0.002744693,0.007936278,0.013127863,14.55535283,5.033812976,24.07689268,793.6277836,274.4692749,1312.786292
2035,1449747.876,531198.0455,408618.8383,1449747.876,2490876.914,0.007863076,0.00288108,0.002216263,0.007863076,0.01350989,14.49747876,4.086188383,24.90876914,786.3076346,221.6262707,1350.988999